feature,importance
listing_count_vs_rolling_avg_7,7.501929648234645
unique_seller_count_rolling_avg_7,6.065318355122375
listing_count_rolling_avg_7,5.380688858661377
ward_name,5.29397799045951
price_per_m2_change_from_lag_1,5.08078131528818
price_avg,4.508483089283619
longitude,4.466225541050762
size_avg,4.106003371291457
latitude,4.075553010429459
week_value,3.726881328660116
price_per_m2_lag_1,3.7047218835229265
price_per_m2_rolling_avg_7,3.5338224549575554
ward_name_encoded,3.276211019333283
listing_count,3.077379493189168
quality_score_avg,2.9566728200234924
season,2.9468136571263526
area_name,2.6404811558154564
price_per_m2_avg,2.5408547369589796
seller_credibility_score_avg,2.517119879480038
unique_seller_count,2.497787984370732
day_of_week,2.4830114704344752
area_popularity_avg,1.887706617850263
listing_count_rolling_max_7,1.6090083368492336
area_name_encoded,1.35301708166147
listing_count_rolling_avg_3,1.0973923684108151
listing_count_change_from_lag_1,1.0268653073549117
month_value,0.7551871357621397
search_volume_avg,0.7475802960813165
listing_count_lag_2,0.7192243131405599
metro_proximity_category,0.6630690052050074
house_count,0.6366677289706303
listing_count_lag_3,0.6200597073047678
fully_legal_ratio,0.5761921059195593
is_weekend,0.5614067400711237
good_quality_ratio,0.5572054147147013
market_saturation_score_rolling_avg_7,0.548838649413565
company_seller_ratio,0.5347994219401228
land_count,0.516047090733131
unique_seller_count_lag_1,0.5037820569976117
listing_count_lag_1,0.4097005139848947
risk_legal_ratio,0.4000049060902052
risk_quality_ratio,0.2946295956496922
listing_age_days_avg,0.2629950869276441
quarter_value,0.23900537031856328
location_tier,0.22109367815433276
year_value,0.21474620262467106
apt_count,0.18595147413000832
nearest_metro_distance_m,0.1844041476245656
metro_proximity_score,0.16655960085702093
market_saturation_score_avg,0.05947038032636128
listing_count_rolling_min_7,0.041865762047072444
market_saturation_score_lag_1,0.024804839190075048
