iter	TotalF1	MultiClass
0	0.4234453305	1.08267693
1	0.5646600275	1.06639969
2	0.5629414178	1.053274183
3	0.5465201854	1.040625521
4	0.5466569023	1.029655356
5	0.5497894685	1.018557654
6	0.5480991796	1.009553147
7	0.5490721842	1.000235489
8	0.548327249	0.9924315029
9	0.5480679913	0.9841902986
10	0.5464744943	0.9768496642
11	0.5469799021	0.9709251215
12	0.5469343048	0.9643868038
13	0.5493281465	0.9575827255
14	0.549313345	0.9527986088
15	0.5500237171	0.9491828334
16	0.5514823117	0.9439788171
17	0.5501198978	0.9393321216
18	0.5515131472	0.9353250362
19	0.5519306539	0.9310588761
20	0.5524079535	0.9273937057
21	0.5535450727	0.9243870559
22	0.5525004565	0.9218551622
23	0.5523942714	0.9198884533
24	0.5510630418	0.9180987846
25	0.5538673939	0.9155126266
26	0.5543249212	0.9133295661
27	0.5535602907	0.9111369252
28	0.5540238468	0.9093195258
29	0.5548546345	0.9066188722
30	0.5557657888	0.9042349003
31	0.5558564129	0.9023203942
32	0.5563725057	0.9005963336
33	0.5570076351	0.8991047213
34	0.558128281	0.8970561168
35	0.5586099015	0.8956710908
36	0.5591873122	0.8937408941
37	0.561241642	0.8916614506
38	0.5613735702	0.8906544438
39	0.5629697272	0.8889988426
40	0.5637334362	0.8871973885
41	0.563999248	0.885962282
42	0.5636287272	0.8846580962
43	0.5647978929	0.8831816099
44	0.5664077148	0.8818026599
45	0.5660475766	0.880400476
46	0.5669978957	0.8794623778
47	0.5681926456	0.8784734339
48	0.5679699452	0.8776913855
49	0.5689838472	0.8765662248
50	0.5720478852	0.874793538
51	0.5709243636	0.8737479471
52	0.5721718436	0.8725525885
53	0.5711507382	0.8716625079
54	0.5730559189	0.8712449601
55	0.5738435709	0.8698607807
56	0.5749238303	0.8689695579
57	0.5750304058	0.8676579394
58	0.5763527561	0.8667160664
59	0.5753617472	0.8659980278
60	0.576581114	0.8653012373
61	0.5773139313	0.8645630416
62	0.5779168885	0.8638550769
63	0.5785244461	0.8635052033
64	0.579551891	0.8627000255
65	0.5807051364	0.8620329565
66	0.5802531921	0.861509362
67	0.5804269084	0.8608602826
68	0.5815891566	0.8602855089
69	0.5833532718	0.8592690958
70	0.5840623513	0.8587407793
71	0.5836151821	0.8583336964
72	0.5835925225	0.8579749208
73	0.5840697472	0.8578439754
74	0.5864474926	0.8571815711
75	0.5871384987	0.8562855808
76	0.5878875178	0.8558796378
77	0.5873726973	0.8555299301
78	0.5880083579	0.8550520127
79	0.5886111351	0.8541108882
80	0.5895699426	0.8536724655
81	0.5895846149	0.8530832065
82	0.5895625019	0.8530169114
83	0.5914627997	0.8519806922
84	0.5917087244	0.8514791146
85	0.5924649153	0.8510061465
86	0.5929512626	0.8504573816
87	0.5929592254	0.850046529
88	0.5932701117	0.8498885425
89	0.5934077067	0.8491115825
90	0.594206474	0.8488033345
91	0.5945205343	0.8481247933
92	0.5945120211	0.8473185873
93	0.5952658296	0.8467931302
94	0.5958038808	0.8460004124
