iter	Passed	Remaining
0	73	51128
1	139	48685
2	203	47257
3	276	48151
4	356	49555
5	418	48398
6	483	47817
7	549	47564
8	589	45292
9	652	45008
10	703	44065
11	756	43349
12	802	42395
13	865	42422
14	910	41575
15	969	41449
16	1035	41596
17	1099	41672
18	1164	41721
19	1222	41552
20	1281	41422
21	1342	41368
22	1408	41444
23	1458	41089
24	1485	40117
25	1548	40143
26	1610	40154
27	1671	40105
28	1739	40254
29	1810	40444
30	1880	40582
31	1967	41072
32	2078	42002
33	2185	42819
34	2273	43199
35	2341	43191
36	2416	43304
37	2488	43352
38	2553	43270
39	2632	43436
40	2699	43383
41	2757	43193
42	2829	43232
43	2899	43236
44	2966	43180
45	3034	43142
46	3102	43105
47	3171	43084
48	3239	43034
49	3301	42923
50	3370	42893
51	3434	42802
52	3510	42853
53	3584	42886
54	3650	42808
55	3718	42765
56	3787	42722
57	3857	42694
58	3926	42660
59	3989	42557
60	4053	42463
61	4123	42434
62	4184	42311
63	4247	42212
64	4322	42222
65	4393	42204
66	4464	42181
67	4534	42144
68	4605	42118
69	4678	42103
70	4737	41969
71	4806	41919
72	4864	41781
73	4905	41500
74	4969	41409
75	5032	41323
76	5099	41260
77	5159	41147
78	5232	41127
79	5302	41095
80	5374	41073
81	5453	41097
82	5480	40737
83	5564	40803
84	5673	41046
85	5754	41087
86	5831	41086
87	5945	41345
88	5994	41149
89	6072	41155
90	6184	41388
91	6294	41598
92	6408	41827
93	6517	42015
94	6607	42078
95	6675	41997
96	6781	42159
97	6855	42114
98	6930	42075
99	7000	42002
100	7058	41859
101	7125	41774
102	7186	41653
103	7257	41591
104	7336	41572
105	7406	41502
106	7471	41406
107	7538	41321
108	7619	41315
109	7692	41257
110	7762	41192
111	7834	41130
112	7907	41077
113	7975	40998
114	8045	40929
115	8107	40816
116	8177	40749
117	8247	40678
118	8311	40580
119	8369	40454
120	8400	40199
121	8471	40134
122	8539	40060
123	8605	39975
124	8663	39853
125	8720	39725
126	8785	39637
127	8857	39584
128	8923	39498
129	8990	39420
130	9059	39350
131	9113	39217
132	9164	39068
133	9215	38923
134	9276	38823
135	9335	38716
136	9397	38619
137	9457	38516
138	9509	38381
139	9561	38246
140	9612	38108
141	9682	38049
142	9742	37949
143	9803	37852
144	9862	37750
145	9928	37673
146	9990	37583
147	10056	37507
148	10105	37369
149	10166	37277
150	10235	37213
151	10296	37122
152	10358	37033
153	10425	36961
154	10487	36875
155	10540	36756
156	10600	36663
157	10663	36578
158	10700	36409
159	10776	36369
160	10841	36296
161	10902	36206
162	10953	36087
163	11009	35981
164	11075	35911
165	11125	35789
166	11190	35715
167	11225	35547
168	11293	35484
169	11388	35505
170	11458	35446
171	11486	35261
172	11561	35219
173	11639	35185
174	11706	35119
175	11740	34953
176	11805	34884
177	11893	34880
178	11979	34866
179	12095	34942
180	12192	34961
181	12252	34873
182	12299	34747
183	12361	34664
184	12414	34560
185	12483	34496
186	12553	34439
187	12621	34374
188	12688	34305
189	12754	34236
190	12814	34148
191	12879	34076
192	12946	34008
193	13010	33933
194	13070	33850
195	13130	33763
196	13197	33697
197	13261	33623
198	13326	33550
199	13391	33479
200	13458	33412
201	13514	33317
202	13574	33233
203	13642	33169
204	13706	33096
205	13768	33017
206	13839	32960
207	13923	32933
208	14009	32913
209	14086	32868
210	14168	32835
211	14251	32806
212	14327	32757
213	14401	32706
214	14467	32637
215	14543	32587
216	14607	32514
217	14670	32436
218	14732	32357
219	14796	32283
220	14874	32239
221	14964	32220
222	15046	32185
223	15123	32137
224	15181	32050
225	15244	31972
226	15316	31914
227	15381	31842
228	15453	31784
229	15513	31701
230	15574	31621
231	15629	31528
232	15688	31444
233	15757	31380
234	15814	31292
235	15876	31215
236	15946	31153
237	16016	31090
238	16078	31012
239	16147	30948
240	16199	30853
241	16264	30782
242	16325	30702
243	16391	30632
244	16450	30551
245	16510	30471
246	16566	30383
247	16621	30293
248	16682	30215
249	16744	30140
250	16811	30073
251	16890	30027
252	16967	29977
253	17042	29924
254	17106	29852
255	17167	29774
256	17234	29707
257	17291	29623
258	17347	29537
259	17407	29459
260	17469	29382
261	17529	29304
262	17585	29220
263	17653	29154
264	17716	29082
265	17778	29007
266	17844	28938
267	17899	28852
268	17959	28775
269	18025	28707
270	18100	28654
271	18164	28581
272	18229	28512
273	18290	28437
274	18354	28365
275	18421	28299
276	18484	28227
277	18548	28156
278	18621	28099
279	18683	28025
280	18749	27957
281	18820	27896
282	18882	27822
283	18946	27752
284	19016	27690
285	19082	27623
286	19153	27562
287	19220	27496
288	19286	27427
289	19354	27362
290	19418	27292
291	19483	27223
292	19540	27143
293	19605	27074
294	19671	27007
295	19737	26939
296	19801	26868
297	19859	26790
298	19919	26714
299	19981	26641
300	20045	26571
301	20113	26506
302	20188	26451
303	20255	26384
304	20316	26311
305	20383	26245
306	20448	26176
307	20524	26121
308	20591	26055
309	20661	25993
310	20722	25919
311	20787	25851
312	20854	25785
313	20929	25729
314	21006	25675
315	21072	25607
316	21136	25536
317	21210	25479
318	21275	25410
319	21338	25339
320	21403	25271
321	21466	25200
322	21532	25132
323	21591	25056
324	21645	24975
325	21708	24905
326	21770	24832
327	21832	24761
328	21901	24697
329	21968	24630
330	22030	24559
331	22090	24485
332	22159	24422
333	22228	24358
334	22287	24283
335	22342	24204
336	22408	24137
337	22477	24073
338	22545	24008
339	22609	23939
340	22668	23865
341	22727	23791
342	22792	23722
343	22855	23652
344	22931	23595
345	23002	23534
346	23082	23481
347	23151	23417
348	23219	23352
349	23283	23283
350	23351	23218
351	23430	23164
352	23507	23108
353	23577	23045
354	23646	22980
355	23716	22916
356	23780	22848
357	23842	22777
358	23901	22703
359	23972	22640
360	24048	22583
361	24116	22517
362	24175	22443
363	24235	22371
364	24300	22303
365	24367	22236
366	24426	22163
367	24491	22095
368	24561	22032
369	24620	21958
370	24675	21881
371	24740	21813
372	24804	21745
373	24870	21678
374	24934	21610
375	24998	21541
376	25064	21474
377	25127	21405
378	25195	21340
379	25258	21270
380	25316	21197
381	25379	21127
382	25436	21053
383	25506	20989
384	25577	20926
385	25658	20872
386	25721	20802
387	25781	20731
388	25845	20662
389	25908	20593
390	25978	20530
391	26041	20461
392	26102	20390
393	26168	20324
394	26298	20306
395	26410	20274
396	26475	20206
397	26545	20142
398	26610	20074
399	26680	20010
400	26753	19948
401	26820	19882
402	26889	19816
403	26968	19758
404	27069	19717
405	27177	19680
406	27262	19625
407	27335	19563
408	27402	19496
409	27468	19429
410	27539	19365
411	27613	19302
412	27677	19233
413	27742	19165
